SKU|Producto|Stock|PVP|Rubro
C9381.|COL BOX CUADRO X 15 LTS. (STOCKEAR SIN TAPA)|53|17050|COLOMBRARO SINCRO STOCK
C9380.|COL BOX RECTO X 17 LTS.|51|16820|COLOMBRARO SINCRO STOCK
C9730BL|TARRO RING STAR 500 CM3 TAPER FRASCO TAPA BLANCA|51|2840|COLOMBRARO SINCRO STOCK
C1626BL|SERVILLETERO COLOR BLANCO|46|2050|COLOMBRARO SINCRO STOCK
C1924BL|RECIP.DE RESID. X 12 L. C/TAPA REBATIBLE BLANCO|44|11360|COLOMBRARO SINCRO STOCK
C9406.|MEGACOL BOX BAJO 25 L. 63,5X44,5X16,5 CM. (COD.9406)|43|37500|COLOMBRARO SINCRO STOCK
C9418.|MEGACOL BOX 63 L. 64X45X32 CM.|42|48860|COLOMBRARO SINCRO STOCK
+14|CAFÉ ESPECIALIDAD AMABILE NATURAL SOROCABANA 1KG ED LIMITADA  ITALIANO - MOKA|42|89796|General
9419|CAJA PLÁSTICA 80 LTS APILABLE ORGANIZADORA - COLOMBRARO  9419|42|3999|General
C3608VIO|VERTEDORA OVALADA TOPF VIOLETA|38|4090|COLOMBRARO SINCRO STOCK
C3608NEG|VERTEDORA OVALADA TOPF NEGRA|35|4090|COLOMBRARO SINCRO STOCK
M060N|CONTENEDOR RESIDUOS PEDAL REFORZADO 60 LTS MASCARDI  NEGRO|35|71390|MASCARDI SINCRO PRECIOS
SETSTD25MM|CAJA X 20 PUNTAS ATORNILLADORAS SURTIDAS ALTO IMPACTO X 25MM VENTURO (PH0,PH1,PH2,PH3 / SL3,SL4,SL5 / \R\NT5,T6,T7,T8,T9,TT10,TT15,TT20,TT25,TT27,TT30,TT35,TT40)|35|9861|DISCOS ALIAFOR
PH2|PH2 X 25MM - CAJA 20 PUNTAS ATORNILLADORAS PHILLIPS ALTO IMPACTO VENTURO|34|10466|DISCOS ALIAFOR
PZ1-50MM|PZ1 X 50MM - CAJA 10 PUNTAS ATORNILLADORAS POZIDRIV ALTO IMPACTO VENTURO|31|9292|DISCOS ALIAFOR
C972MAR|CESTO RATAN RECTANGULAR MINI BAJO MARRON|30|4090|COLOMBRARO SINCRO STOCK
C326BL|ESCURRIDOR CENTRIFUGO DE VERDURAS COLOMBRARO  BLANCO|29|2232|General
BWBC1000G|WAFFLE 1035 GR CREMUCCINO|28|25967|COMPAÑIA FRIKAF
PZ2-50MM|PZ2 X 50MM - CAJA 10 PUNTAS ATORNILLADORAS POZIDRIV ALTO IMPACTO VENTURO|27|9292|DISCOS ALIAFOR
M030NX5|SILLON SILLA ANCONA MASCARDI SET X 5  NEGRO|26|205700|General
BAÑO3|SET DE ACCESORIOS JUEGO BAÑO KIT 3 PIEZAS ECONOMICO BASICO|26|14999|General
C4321NEG|SILLA NINA NEGRO|25|22730|COLOMBRARO SINCRO STOCK
C9417.|MEGACOL BOX 48 L. 64X45X25 CM.|25|46590|COLOMBRARO SINCRO STOCK
C9407TT|MEGACOL BOX BAJO 36 L. 80X44,5X16,5 CM. (COD.9407) TRANSPARENTE|25|48860|COLOMBRARO SINCRO STOCK
C560NAR|CONTENEDOR STAR P/ALIMENTOS GRANDE 7,5 L NARANJA|24|10230|COLOMBRARO SINCRO STOCK
C1422BL|PALA CON GOMA BLANCA|24|3070|COLOMBRARO SINCRO STOCK
C9680BL|CAJON APILABLE ALTO 60 X39X30 CM ENCASTRABLE BLANCO|23|46590|COLOMBRARO SINCRO STOCK
2248|TACHO CESTO RESIDUOS RECICLABLE 120 LTS RUEDAS COLOMBRARO  2248|21|9299|General
C9416.|MEGACOL BOX X 36 LTS. 49X33X33 CM.|20|35230|COLOMBRARO SINCRO STOCK
C512ROJ|CAJA HERMETICA N. 3 BAJA ROJA|18|12840|COLOMBRARO SINCRO STOCK
C955GR|CESTO RATAN 955 GRIS COLOMBRARO|18|27270|COLOMBRARO SINCRO STOCK
C508|CONTENEDOR DE ALIMENTOS 25X27X17 DE ALTO COLOMBRARO PRM  TRANSPARENTE CON TAPA DE COLOR|18|1120|General
SETVASOSMAG|SET VASOS APRIETATUERCAS VENTURO - (1/4''X65 / 8X65 / 3/8''X65 / 10X65 / 7/16''X65 / 12X65 / 13X65)|18|12015|DISCOS ALIAFOR
C650NEG|SUPER CAMPANA PORTATORTAS LUXURY NEGRO|17|19320|COLOMBRARO SINCRO STOCK
C7022BL|TAPA VAIVEN X 34 L.|16|15910|COLOMBRARO SINCRO STOCK
C9680NEG|CAJON APILABLE ALTO 60 X39X30 CM ENCASTRABLE NEGRO|16|46590|COLOMBRARO SINCRO STOCK
PH1-100MM|PH1 X 100MM - CAJA 10 PUNTAS ATORNILLADORAS PHILLIPS ALTO IMPACTO VENTURO|16|16335|DISCOS ALIAFOR
SET32P-25MM|SET 32 PUNTAS ATORNILLADORAS SURTIDAS ALTO IMPACTO X 25MM VENTURO  (PH0,PH1,PH2,PH3 / SL3,SL4,SL5,SL6.5 / H2.5,H3,H4,H5,H5.5,H6 / T5,T6,T7,T8,T9,TT10, TT15,TT20, TT25,TT27,TT30,TT35,TT40 / SP4,SP6,SP8 / COMNECTOR RÁPIDO, ADAPTADOR 1/4X25)|16|23413|DISCOS ALIAFOR
SAL1000|CAJA SAL FINA ABEDUL / DOS ANCLAS (DORSO) SOBRES X 1000 UNIDADES|16|14578|COMPAÑIA FRIKAF
T9396-9397TR-AM|TAPA PARA MALETIN 9396 Y 9397 TRANSPARENTE CON AMARILLO|15|19320|COLOMBRARO SINCRO STOCK
C7007VM|TAPA PLANA X 55 L. VERDE MANZANA|15|8860|COLOMBRARO SINCRO STOCK
C650BL|SUPER CAMPANA PORTATORTAS LUXURY BLANCO|14|19320|COLOMBRARO SINCRO STOCK
C7024BL|TAPA VAIVEN X 72 LTS.|14|20450|COLOMBRARO SINCRO STOCK
C4450AZ|MATE A PUNTO 350CM3 COLOMBRARO AZUL|14|9090|COLOMBRARO SINCRO STOCK
C1955MAR|TAPA P/CESTO RATAN CHICO (ART 953 CH) MARRON|12|4550|COLOMBRARO SINCRO STOCK
C9338TNEG|COL BOX 38 L. LARGO TAPA NEGRA (OSMAR: HAY QUE AGREGAR VARIANTE Y PUBLICAR)|12|30680|COLOMBRARO SINCRO STOCK
RO/IP/MAX/VS|REPUESTO 15 MAXIFILM|12|4356|WELL CUP
1XC4321BL|SILLA PLASTICA APILABLE NINA RESISTENTE COLOMBRARO BLANCO|11|27503|General
C3803T-VIO|CAJA TOPF COLOMBRARO N. 3 VIOLETA|11|15910|COLOMBRARO SINCRO STOCK
B100DOLAR|100 BOLSA NEGRA PARA CAFE X 1 KG|10|52|COMPAÑIA FRIKAF
B-TRI-1000DOLAR|100 BOLSA TRILAMINADA PARA CAFE X 1 KG|10|85|COMPAÑIA FRIKAF
C7020BL|TAPA VAIVEN X 100/120 L.|10|22730|COLOMBRARO SINCRO STOCK
C827BL|CANASTA MARKET BLANCO|10|32950|COLOMBRARO SINCRO STOCK
PH1-75MM|PH1 X 75MM - CAJA 10 PUNTAS ATORNILLADORAS PHILLIPS ALTO IMPACTO VENTURO|10|12281|DISCOS ALIAFOR
PH2-PH2|PH2 - PH2 X 50MM - CAJA 10 PUNTAS ATORNILLADORAS PHILLIPS ALTO IMPACTO - DOBLE PUNTA VENTURO|10|8094|DISCOS ALIAFOR
RO/II/MAN/VS|ROLLO PAPEL MANTECA 1 K|10|17859|WELL CUP
RO/IP/ALY/RL|ROLLO ALUMINIO R|10|14520|WELL CUP
X176|TRAPO DE PISO PANAL TEXTIL XPER|10|1997|XPER
RO/IP/G20/GZ|REPUESTO 15 GARZON|9|9365|WELL CUP
RO/IP/G25/RL|REPUESTO 15 ROLOFILM|9|12828|WELL CUP
POINT1|POSNET MINI MERCADOPAGO POINT BLUETOOTH|9|249|TECNOLOGIA
PH1-50MM|PH1 X 50MM - CAJA 10 PUNTAS ATORNILLADORAS PHILLIPS ALTO IMPACTO VENTURO|9|9292|DISCOS ALIAFOR
PACKPVPLUPLUPLU|PROTECTOR DIARIO VEDETINA X 3 (PLUMAS)|9|12613|VYMEL
PEHUE6|SALSA GOURMET F. BOSQUE 510 G PEHUENIA|8|14520|PEHUENIA
C8032VER|PERCHA DAMA-HOMBRE X 1 A GRANEL VERDE|8|1140|COLOMBRARO SINCRO STOCK
C9721TR|CONTENEDOR COL VISION 3D CUADRADO 1500 ML TRANSPARENTE|8|13640|COLOMBRARO SINCRO STOCK
C9732BOR|TARRO RING STAR 1900 CM3 BORDO|8|6250|COLOMBRARO SINCRO STOCK
C3803VER|CONTENEDOR HERMETICO RECTANGULAR ULTRA COLOMBRARO OFERTA PRM  VERDE CLARO|8|1092|General
BOMBASPURE|BOMBA DOSIFICADORA PURES (SD)|7|10227|COMPAÑIA FRIKAF
CRIOLLO111|PORTAFILTRO SIMPLE PARA CAFETERA CRIOLLO (SIN FILTRO)|7|175488|COMPAÑIA FRIKAF
C9407TN|MEGACOL BOX BAJO 36 L. 80X44,5X16,5 CM. (COD.9407) NEGRA|7|48860|COLOMBRARO SINCRO STOCK
C9316TNAR|COL BOX 16 LITROS CON RUEDAS NARANJA|6|22160|COLOMBRARO SINCRO STOCK
CRIOLLO106|TAPA PARA TOLBA DE MOLINO  CRIOLLO 21,5 CM DIAM|6|30250|COMPAÑIA FRIKAF
CRIOLLO107|TAPA PARA DOSIFICADOR DE MOLINO CRIOLLO 13 CM DIAM|6|15125|COMPAÑIA FRIKAF
C9680ROJ|CAJON APILABLE ALTO 60 X39X30 CM ENCASTRABLE ROJO|6|46590|COLOMBRARO SINCRO STOCK
C9420TR|CAJA PLÁSTICA MEGACOL BOX X 90 LTS CON RUEDAS COLOMBRARO  TRANSPARENTE MEGACOL|6|85230|COLOMBRARO SINCRO STOCK
BORRAR|SKU PARA BORRAR PUBLICACIONES|6|8298|General
C21144ROJ|TACHO DE BASURA SIN TAPA X 25 LTS COLOMBRARO  ROJO|6|24198|General
C512NAR|CAJA HERMETICA N. 3 BAJA NARANJA|6|12840|COLOMBRARO SINCRO STOCK
C4385BL|MESA AUXILIAR BARCELONA BLANCO|6|17050|COLOMBRARO SINCRO STOCK
C4385NEG|MESA AUXILIAR BARCELONA NEGRO|6|17050|COLOMBRARO SINCRO STOCK
RILO11|TAPA PARA DOSIFICADOR DE MOLINO RILO 12 CM DIAM|6|12100|COMPAÑIA FRIKAF
VARPADDOS|PADS REUTILIZABLES X2 THE MASH STORE|6|7834|the mash store
C4303X2+X4304VER|KIT MESITA + 2 SILLITAS PLASTICAS INFANTILES COLOMBRARO PRM  VERDE|5|68945|General
C4303X2-C4304VER|MESA PLASTICO INFANTIL COLOMBRARO + 2 SILLITAS CAROLINA  VERDE|5|84698|General
$4OZ|DOLAR 1.000 VASO POLIPAPEL 4 ONZAS BLANCO ESTISOL|5|68|01 LISTA DE PRECIOS FRIKAF
CRIOLLO110|PORTAFILTRO DOBLE PARA CAFETERA CRIOLLO  (SIN FILTRO)|5|181682|COMPAÑIA FRIKAF
DISCOS-S21(GRANDE)|JUEGO DE DISCOS PARA MOLINILLO DE CAFE CRIOLLO PRM  SERIE 21 (GRANDE)|5|4130|General
PACKPCESRESRESR|PROTECTOR DIARIO COLALESS X 3 (ESTRELLA ROSA)|5|12613|VYMEL
PACKTCTRINEG|PACK TOALLITA MENSTRUAL COLALESS X 2 (TRIBAL Y NEGRO)|5|10506|VYMEL
PACKTNHOJNEG|PACK TOALLITA MENSTRUAL NOCTURNA X 2 (HOJAS Y HOJAS)|5|11208|VYMEL
PACKTVCHENEG|TOALLITA MENSTRUAL VEDETINA X 2 (ESTAMPA CHEVRON + NEGRA LISA)|5|10506|VYMEL
PACKTVHOHNEG|PACK TOALLITA MENSTRUAL VEDETINA X 2 (HOJAS Y NEGRO)|5|10506|VYMEL
PH2-75MM|PH2 X 75MM - CAJA 10 PUNTAS ATORNILLADORAS PHILLIPS ALTO IMPACTO VENTURO|5|12281|DISCOS ALIAFOR
DISCOS-S80-R(GRANDE)|JUEGO DE DISCOS PARA MOLINILLO DE CAFE CRIOLLO PRM  SERIE 80-R (GRANDE)|5|4130|General
DOLAR1|PRODUCTO EN DOLARES PRUEBA|5|1210|General
DISCOS-S90(CHICO)|JUEGO DE DISCOS PARA MOLINILLO DE CAFE CRIOLLO PRM  SERIE 90 (DISCO CHICO)|4|4130|General
DLK-5-420|FRAPPE MILKSHAKE POLVO CHOCOLATE 420GR CREMUCCINO PRM|4|1120|General
DISCOS-S80-B(CHICO)|JUEGO DE DISCOS PARA MOLINILLO DE CAFE CRIOLLO PRM  SERIE 80-B (CHICO)|4|4130|General
PYTF-7|DISCO PATROLL 7TURBO-FINO LINEA AMARILLA|4|34483|DISCOS ALIAFOR
JABDOBCIR|JABONERA DOBLE CIRCULAR|4|6993|the mash store
C9732AZ|TARRO RING STAR 1900 CM3 AZUL|4|6250|COLOMBRARO SINCRO STOCK
C8507TR|ORGANIZADOR BEAUTY N°5 TRANSPARENTE|4|32950|COLOMBRARO SINCRO STOCK
C8550TR|PASTILLERO 6 DIV. CH TRANSPARENTE|4|1820|COLOMBRARO SINCRO STOCK
C2244BL|RECIPIENTE REDONDO X 100 L. C/TAPA BLANCO|4|70450|COLOMBRARO SINCRO STOCK
X163X12|PACK X 12 FIBRA ESPONJA PROFESIONAL BLOKER BRIX XPER|4|3348|General
SET10P-50MM|CAJA X 10 PUNTAS ATORNILLADORAS SURTIDAS ALTO IMPACTO X 50MM VENTURO - (PH1,PH2,PH3 / T10,T15,T20,T25,T27,T30,T35)|3|8530|DISCOS ALIAFOR
C3608CEL|VERTEDORA OVALADA TOPF CELESTE|3|4090|COLOMBRARO SINCRO STOCK
C749BEI|JABONERA CABALLETE POSA JABON PLASTICO COLOMBRARO  AMARILLO|3|572|General
C591AZ|TARRO CUADRADO STAR FLORES X 8 L ENVASE TS C/TAPA AZUL|3|12500|COLOMBRARO SINCRO STOCK
C913BEI|CESTO CALADO RECTANGULAR MEDIANO 913 BEIGE|3|8180|COLOMBRARO SINCRO STOCK
C9731CEL|TARRO RING STAR 1000 CM3 CELESTE|3|2950|COLOMBRARO SINCRO STOCK
DISCOS-S24(CHICO)|JUEGO DE DISCOS PARA MOLINILLO DE CAFE CRIOLLO PRM  SERIE 24 (CHICO)|3|4130|General
CRIOLLO108|BANDEJA COLECTORA PARA MOLINO DE DE CAFE SERIE 24|3|24200|COMPAÑIA FRIKAF
C9681AZ|CAJON API CALADO 60X39X18 CM ENCASTRABLE AZUL|2|27270|COLOMBRARO SINCRO STOCK
C9681ROJ|CAJON API CALADO 60X39X18 CM ENCASTRABLE ROJO|2|27270|COLOMBRARO SINCRO STOCK
C299ROJFULL|ESCURRIDOR SECAPLATOS  PLÁSTICO VAJILLAS 2 PISOS  ROJO|2|4000|FULL
C4224NAR+ISO1LT|CONSERVADORA 28LTS NARANJA + PORTA BOTELLAS DE REGALO  NARANJA|2|79253|General
C4224VER+ISO1LT|CONSERVADORA 28LTS VERDE MANZANA + PORTA BOTELLAS DE REGALO  VERDE|2|79253|General
C4450NEG|MATE A PUNTO 350CM3 COLOMBRARO NEGRO|2|9090|COLOMBRARO SINCRO STOCK
C4450ROJ|MATE A PUNTO 350CM3 COLOMBRARO ROJO|2|9090|COLOMBRARO SINCRO STOCK
C4433NEG|MATE A PUNTO 500CM3 COLOMBRARO NEGRO|2|11360|COLOMBRARO SINCRO STOCK
C4433ROJ|MATE A PUNTO 500CM3 COLOMBRARO ROJO|2|11360|COLOMBRARO SINCRO STOCK
C224BL|COLADOR KOLOR BLANCO|2|2610|COLOMBRARO SINCRO STOCK
ABE-MER-DUR|MERMELADA DE DURAZNO INDIVIDUAL ABEDUL (108 X 20 G)|2|14520|COMPAÑIA FRIKAF
M130|PEINE RASTRILLO GRANDE MASCARDI|2|2178|MASCARDI SINCRO PRECIOS
RILO1|PORTAFILTROS COMPLETO SIMPLE RILO|2|242000|COMPAÑIA FRIKAF
MG1|PAPEL ALUMINIO TERMICO HAMBURGUESAS 29CM X 40CM X 100 HOJAS  VARIANTE 2|2|29040|COMPAÑIA FRIKAF
PEHUE1|SALSA GOURMET FRUTILLA 510 G PEHUENIA|2|14520|PEHUENIA
PEHUE2|SALSA GOURMET CARAMELO 510 G PEHUENIA|2|14520|PEHUENIA
PEHUE40|PULPA SMOOTHIE YA FRUTILLA PEHUENIA 1.8 LTS|2|31460|PEHUENIA
VASSQB60|BOMBA PERIFERICA MOTORARG VASSER QB60 1/2 HP ANTIBLOQUEO  AZUL MONOFÁSICA 50 HZ|2|70301|General
VERTICE009|ORGANIZADOR DIARIO BANDEJA X 7 DIAS VERTICE|1|5082|VERTICE POLISOL
T9396-9397AZ|TAPA PARA MALETIN 9396 Y 9397 AZUL CON ROJO|1|19320|COLOMBRARO SINCRO STOCK
PFVC04-B|PFVC04-B (1000 DE 4 OZ)|1|90|01 LISTA DE PRECIOS FRIKAF
RILO10|TAPA PARA TOLBA DE MOLINO RILO 19,5 CM DIAM|1|24200|COMPAÑIA FRIKAF
PH2-50MM|PH2 X 50MM - CAJA 10 PUNTAS ATORNILLADORAS PHILLIPS ALTO IMPACTO VENTURO|1|9292|DISCOS ALIAFOR
JABDOBKIR|JABONERA DOBLE KIRI|1|6993|the mash store
KIT38|KIT MESITA + 2 SILLITAS PLASTICAS INFANTILES COLOMBRARO  BLANCO|1|49247|General
LL190|LINTERNA MINERO LED CABEZA VINCHA 180 LUMENES HAMILTON LL190|1|10999|General
EMBU3|REPUESTO EMBUDO CAFETERA VOLTURNO 3/6/9/12 POCILLOS ALUMINIO  ALUMINIO -  3 POCILLOS|1|8000|General
EMBU6|REPUESTO EMBUDO CAFETERA VOLTURNO 3/6/9/12 POCILLOS ALUMINIO  ALUMINIO - 6 POCILLOS|1|8000|General
EMBU9|REPUESTO EMBUDO CAFETERA VOLTURNO 3/6/9/12 POCILLOS ALUMINIO  ALUMINIO - 9 POCILLOS|1|8000|General
ESPECIAL|PUBLICACION ESPECIAL FRIKAF|1|1999|General
ESPECIAL-EG|PUBLICACION ESPECIAL FRIKAF EG|1|8000|General
FV19-1|1 KG SUMATRA DESCAFEINADO FKF LISTA VERDE|1|96800|01 LISTA VERDE FRIKAF
FV19-2|1/2 KG SUMATRA DESCAFEINADO FKF LISTA VERDE|1|49610|01 LISTA VERDE FRIKAF
FV19-4|1/4 KG SUMATRA DESCAFEINADO FKF LISTA VERDE|1|24805|01 LISTA VERDE FRIKAF
ATRI1|PRODUCTO CON ATRIBUTO|1|2420|General
928|CESTO CALADO RECTANG CON MANIJA GRANDE COLOMBRARO PACK X 12  GRIS|1|93915|General
1XC4321NEG|SILLA PLASTICA APILABLE NINA RESISTENTE COLOMBRARO NEGRO|1|27503|General
C2134ROJX24|CUCHARIN PLASTICO MEDIANO COLOMBRARO PACK X 24  ROJO|1|85910|General
C4385VER|MESA AUXILIAR BARCELONA VERDE|1|17050|COLOMBRARO SINCRO STOCK
C4385VIO|MESA AUXILIAR BARCELONA VIOLETA|1|17050|COLOMBRARO SINCRO STOCK
C4408NEGX2+C4385NEG*|2 SILLON PLASTICO COUNTRY + MESITA BARCELONA COLOMBRARO PRM  NEGRO COUNTRY|1|21064|General
C4433AZ|MATE A PUNTO 500CM3 COLOMBRARO AZUL|1|11360|COLOMBRARO SINCRO STOCK
C4232NAR+ISO1LT|CONSERVADORA 35LT NARANJA + PORTA BOTELLAS TÉRMICO DE REGALO  NARANJA|1|127569|General
C4232ROJ+ISO1LT|CONSERVADORA 35LTS AZUL + PORTA BOTELLAS TÉRMICO DE REGALO  ROJO|1|127569|General
C4246ROJ+ISO1LT|CONSERVADORA 52LTS + PORTA BOTELLAS TÉRMICO DE REGALO  ROJO|1|269586|General
C4252AZ+ISO1LT|CONSERVADORA 54LTS AZUL + PORTA BOTELLAS TÉRMICO DE REGALO  AZUL|1|225663|General
C4252ROJ+ISO1LT|CONSERVADORA 54LTS MANIJA + PORTA BOTELLAS TÉRMICO DE REGALO  ROJO|1|225663|General
C4224ROJ+ISO1LT|CONSERVADORA 28LTS ROJA + PORTA BOTELLAS DE REGALO  ROJO|1|79253|General
CRIOLLO114|MOLINO DE CAFÉ ELÉCTRICO CRIOLLO LAINEX CON TOLBA 1KG  GRIS|1|2642640|COMPAÑIA FRIKAF
CNEC875G1|CHOCOLATE NEGRO 875G CREMUCCINO|1|43463|COMPAÑIA FRIKAF
COL1|GIOVEGEN SKIN - COLÁGENO HIDROLIZADO BEBIBLE  LIMONADA|1|9999|General
CRIOLLO002|CAFETERA EXPRESO 2 BOCA ELÉCTRICA TANQUE INCORPORADO CRIOLLO|1|6476823|COMPAÑIA FRIKAF
CRIOLLO013|MOLINO ELÉCTRICO S80 R REGULABLE REVENTA CAFÉ MOLIDO BOLSA|1|3138135|COMPAÑIA FRIKAF
CRIOLLO014|MOLINO DE CAFÉ ELÉCTRICO CRIOLLO S90 DIGITAL REGULABLE  GRIS|1|3368593|COMPAÑIA FRIKAF
CRIOLLO-1001+FR-BR-1000|CAFETERA EXPRESS ELÉCTRICA GASTRO 1 GRUPO CRIOLLO PLUS PRM  GRIS|1|245000|General
C9335*|ARMARIO COLOMBRARO GABINETE ESCOBERO 177CM EXTERIOR ARMADO  GRIS CLARO|1|52195|General
C9305GR|ARMARIO BAJO SLIM CLASICO GRIS|1|284090|COLOMBRARO SINCRO STOCK
C6331GR|CESTO CANASTO DE COMPRAS ALMACÉN SUPERMERCADO MEDIANO  GRIS|1|14157|General
C8731BL|CAJONERA EN TORRE MINI X 3 BLANCO|1|9890|COLOMBRARO SINCRO STOCK
C8731VER|CAJONERA EN TORRE MINI X 3 VERDE|1|9890|COLOMBRARO SINCRO STOCK
